siteId,siteCurrentName,siteClassification,siteAttractivenessClass,siteLatitude,siteLongitude,regionId,regionName,continent,siteBroadTerrain,siteSpecificTerrain,poiId,poiType,poiCurrentName,poiWorkingLabel,poiNameStatus,poiLatitude,poiLongitude,poiSurfaceType,poiHostFeatureId,poiPrimaryBiomeId,isMagical,isRuntimeEffectAnchor,siteAssignmentDistanceKm,siteAssignmentMethod,proposedPoiName,proposedPoiPronunciation,poiNamingNotes
SITE-121,,CITY,PRIME,-13.165439,-77.943203,R18,Aerie Peaks,Southwestern,MOUNTAIN | POLAR_ICE,ALPINE | GLACIER | PACK_ICE | PLATEAU,POI-025,PEAK,,Northwest High Peak,WORKING,-10.135729,-78.658727,LAND,PEAK-SW-01,BIOME-02,False,False,345.8,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-122,,TOWN,MAJOR,-19.233013,-68.854359,R18,Aerie Peaks,Southwestern,POLAR_ICE,GLACIER | PACK_ICE,POI-026,PEAK,,Central High Peak,WORKING,-22.626846,-68.149411,LAND,PEAK-SW-02,BIOME-06,False,False,384.4,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-122,,TOWN,MAJOR,-19.233013,-68.854359,R18,Aerie Peaks,Southwestern,POLAR_ICE,GLACIER | PACK_ICE,POI-069,GLACIER,Southwestern Spine Glacier,Southwestern Spine Glacier,WORKING,-18.227767,-69.680089,ICE,BIOME-SWATH-0676,BIOME-CLASS-ICE_SNOW_GLACIER,False,False,141.6,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-123,,VILLAGE,STRONG,-29.964358,-65.446029,R18,Aerie Peaks,Southwestern,MOUNTAIN,ALPINE | PLATEAU,POI-039,MOUNTAIN_RANGE,Southwestern Spine Range,Southwestern Spine Range,WORKING,-28.105205,-69.234563,LAND,MOUNTAIN-RANGE-008,BIOME-CLASS-ALPINE_MOUNTAIN,False,False,422.3,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-127,Whakareva,METROPOLIS,METROPOLIS,-27.87888,18.921071,R19,Caldera Heights,Southwestern,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,POI-009,HELL_DOOR,,Hell Door,WORKING,-17.553551,8.726043,LAND,,BIOME-OCEAN,True,True,1551.4,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-127,Whakareva,METROPOLIS,METROPOLIS,-27.87888,18.921071,R19,Caldera Heights,Southwestern,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,POI-028,PEAK,,Far East Volcano Peak,WORKING,-29.976244,20.769489,LAND,PEAK-SW-04,BIOME-02,False,False,294.5,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-127,Whakareva,METROPOLIS,METROPOLIS,-27.87888,18.921071,R19,Caldera Heights,Southwestern,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,POI-073,VOLCANO,Far-East Volcano,Far-East Volcano,WORKING,-29.976244,20.769489,LAND,PEAK-SW-04,BIOME-SWATH-0347,False,False,294.5,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-128,,CITY,PRIME,-25.688558,-16.90456,R19,Caldera Heights,Southwestern,COASTAL | GRASSLAND,ESTUARY | SAVANNA,POI-014,CALDERA,,Volcanic Caldera,WORKING,-18.568207,-11.56708,LAND,,BIOME-OCEAN,True,True,963.6,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-130,,VILLAGE,STRONG,-22.723294,-30.457811,R19,Caldera Heights,Southwestern,GRASSLAND,STEPPE,POI-032,JUNGLE,Southwestern Emerald Jungle,Southwestern Emerald Jungle,WORKING,-24.80189,-29.140077,LAND,BIOME-SWATH-1367,BIOME-CLASS-GRASSLAND_STEPPE,False,False,267.2,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-130,,VILLAGE,STRONG,-22.723294,-30.457811,R19,Caldera Heights,Southwestern,GRASSLAND,STEPPE,POI-053,FOREST,Southwestern Rainwood,Southwestern Rainwood,WORKING,-24.80189,-29.140077,LAND,BIOME-SWATH-1367,BIOME-CLASS-GRASSLAND_STEPPE,False,False,267.2,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-132,,HAMLET,MODEST,-26.861368,-4.34196,R19,Caldera Heights,Southwestern,MOUNTAIN,ALPINE | CLIFF,POI-015,HOT_SPRING,,Hot Spring Field,WORKING,-11.465614,-5.479143,LAND,,BIOME-OCEAN,True,True,1716.1,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-132,,HAMLET,MODEST,-26.861368,-4.34196,R19,Caldera Heights,Southwestern,MOUNTAIN,ALPINE | CLIFF,POI-027,PEAK,,Eastern Volcano Peak,WORKING,-26.902138,2.704108,LAND,PEAK-SW-03,BIOME-02,False,False,698.8,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-132,,HAMLET,MODEST,-26.861368,-4.34196,R19,Caldera Heights,Southwestern,MOUNTAIN,ALPINE | CLIFF,POI-072,VOLCANO,Eastern Volcano,Eastern Volcano,WORKING,-26.902138,2.704108,LAND,PEAK-SW-03,BIOME-CLASS-ALPINE_MOUNTAIN,False,False,698.8,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-142,,CITY,PRIME,-33.587215,27.868918,R21,Ringwood Isles,Southwestern,COASTAL | GRASSLAND,ESTUARY | STEPPE,POI-090,SEA,Southern Passage Sea,Southern Passage Sea,WORKING,-29.0,42.0,OPEN_WATER,,BIOME-CLASS-GRASSLAND_STEPPE,False,False,1434.8,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-145,,HAMLET,GOOD,-50.408928,84.291437,R21,Ringwood Isles,Southwestern,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | ISLAND | RAIN_FOREST,POI-005,VOLCANIC_ISLAND_CHAIN,,Visible Volcanic Island Chain,WORKING,-52.559188,74.983089,COASTAL_LAND,,BIOME-11,True,True,686.9,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-145,,HAMLET,GOOD,-50.408928,84.291437,R21,Ringwood Isles,Southwestern,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | ISLAND | RAIN_FOREST,POI-016,UNDERWATER_LANDMARK,Abyssal Underwater Landmark,Abyssal Underwater Landmark,WORKING,-50.022548,87.869222,UNDERWATER,,BIOME-OCEAN,True,True,258.1,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-146,,HAMLET,MODEST,-39.470955,-33.40995,R21,Ringwood Isles,Southwestern,POLAR_ICE,GLACIER | PACK_ICE,POI-049,RIVER,Central Plains River,Central Plains River,WORKING,-39.113585,-9.971625,SHALLOW_WATER,RIVER-SYS-0016,BIOME-CLASS-ICE_SNOW_GLACIER,False,False,2011.7,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-147,,HAMLET,FRONTIER,-34.388691,-59.943631,R21,Ringwood Isles,Southwestern,MOUNTAIN,ALPINE | PLATEAU,POI-030,PEAK,,Derived Summit 02,WORKING,-36.625,-61.125,LAND,PEAK-DER-002,BIOME-02,False,False,270.7,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-147,,HAMLET,FRONTIER,-34.388691,-59.943631,R21,Ringwood Isles,Southwestern,MOUNTAIN,ALPINE | PLATEAU,POI-062,PLAINS,Southern Great Plain,Southern Great Plain,WORKING,-37.473492,-101.326362,LAND,BIOME-SWATH-0644,BIOME-CLASS-ALPINE_MOUNTAIN,False,False,3711.9,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-147,,HAMLET,FRONTIER,-34.388691,-59.943631,R21,Ringwood Isles,Southwestern,MOUNTAIN,ALPINE | PLATEAU,POI-075,MOUNTAIN_RANGE,Southern Long Range,Southern Long Range,WORKING,-38.722025,-56.554423,LAND,MOUNTAIN-RANGE-009,BIOME-CLASS-ALPINE_MOUNTAIN,False,False,568.9,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-148,Tjuringa,METROPOLIS,METROPOLIS,-68.023152,43.027322,R22,The Chains,Southwestern,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ISLAND | ROAD | SAVANNA | VILLAGE | WORKSHOP,POI-083,ISLAND,Far-South Ice Isle,Far-South Ice Isle,WORKING,-68.899422,43.914722,COASTAL_LAND,ISL-SW-002,BIOME-SWATH-0267,False,False,104.0,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-153,,HAMLET,MODEST,-53.294476,70.573762,R22,The Chains,Southwestern,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | ISLAND | RAIN_FOREST,POI-082,ISLAND,Emberchain Isle,Emberchain Isle,WORKING,-52.851641,76.390639,COASTAL_LAND,ISL-SW-001,BIOME-CLASS-SUBTROPICAL_DENSE_FOREST,False,False,391.6,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-157,,TOWN,MAJOR,-58.699681,-44.796552,R23,Highwater,Southwestern,FRESHWATER | WETLAND,BOG | DELTA | FLOODPLAIN | MUDFLAT,POI-079,WETLAND,Southern Blackmarsh,Southern Blackmarsh,WORKING,-61.585555,-56.111598,WETLAND,BIOME-SWATH-0645,BIOME-CLASS-WETLAND_DELTA,False,False,702.5,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-158,,VILLAGE,STRONG,-50.140458,-52.192152,R23,Highwater,Southwestern,GRASSLAND,STEPPE,POI-048,RIVER,Southern Great River,Southern Great River,WORKING,-51.339025,-50.280088,SHALLOW_WATER,RIVER-SYS-0014,BIOME-CLASS-GRASSLAND_STEPPE,False,False,189.4,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-158,,VILLAGE,STRONG,-50.140458,-52.192152,R23,Highwater,Southwestern,GRASSLAND,STEPPE,POI-071,RAPIDS,Southern Great River Rapids,Southern Great River Rapids,WORKING,-51.339025,-50.280088,SHALLOW_WATER,RIVER-SYS-0014,BIOME-CLASS-GRASSLAND_STEPPE,False,False,189.4,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-169,Serpentis,METROPOLIS,METROPOLIS,-72.707695,-23.324293,R25,Marshroot,Southwestern,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | RAIN_FOREST | ROAD | VILLAGE | WORKSHOP,POI-092,OCEAN,Southern Ocean,Southern Ocean,WORKING,-72.0,-18.0,OPEN_WATER,,BIOME-SWATH-0953,False,False,195.9,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-172,,VILLAGE,STRONG,-60.403762,-8.383211,R25,Marshroot,Southwestern,COASTAL | GRASSLAND,ESTUARY | STEPPE,POI-011,WHIRLPOOL,,Ocean Whirlpool,WORKING,-52.05186,-2.435175,OPEN_WATER,,BIOME-11,True,True,997.9,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-175,,HAMLET,FRONTIER,-36.216296,7.17205,R25,Marshroot,Southwestern,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | RAIN_FOREST,POI-088,PLATEAU,,Eastern Grassland Upland,WORKING,-36.103872,-6.331167,LAND,PLATEAU-SW-01,BIOME-11,False,False,1211.3,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
