siteId,currentSiteName,nameStatus,classification,attractivenessClass,attractivenessTier,latitude,longitude,regionId,regionName,continent,surfaceType,biomeClass,broadTerrain,specificTerrain,elevationM,coastalDistanceKm,riverDistanceKm,wetlandDistanceKm,ridgeDistanceKm,hostFeatureId,poiCount,poiIds,poiTypes,poiCurrentLabels,poiSummary,namingContext,proposedSiteName,proposedPronunciation,siteNamingNotes
SITE-050,Luminthalas,CANONICAL,METROPOLIS,METROPOLIS,7,3.625,-153.375,R08,Shadeleaf,Northwestern,COASTAL_LAND,TEMPERATE_DENSE_FOREST,BUILT_ENVIRONMENT | COASTAL | FOREST | GENERALIST,CASTLE | CITY | ESTUARY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP,42.3,39.3,5807.9,7220.5,5853.3,,0,,,,,Region: Shadeleaf || Continent: Northwestern || Class: Metropolis || Biome: Temperate Dense Forest || Broad: BUILT_ENVIRONMENT | COASTAL | FOREST | GENERALIST || Specific: CASTLE | CITY | ESTUARY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP,,,
SITE-051,,WORKING,CITY,PRIME,6,9.180965,-141.608305,R08,Shadeleaf,Northwestern,COASTAL_LAND,ICE_SNOW_GLACIER,COASTAL | POLAR_ICE,ESTUARY | GLACIER | PACK_ICE,43.7,28.9,4472.0,5885.7,4781.6,,0,,,,,Region: Shadeleaf || Continent: Northwestern || Class: City || Biome: Ice Snow Glacier || Broad: COASTAL | POLAR_ICE || Specific: ESTUARY | GLACIER | PACK_ICE,,,
SITE-052,,WORKING,TOWN,MAJOR,5,21.16427,-107.866089,R08,Shadeleaf,Northwestern,LAND,SHADOW_FOREST,FOREST,FOREST_FLOOR | SHADOW_FOREST,706.6,37.4,1078.6,2422.0,1300.0,,0,,,,,Region: Shadeleaf || Continent: Northwestern || Class: Town || Biome: Shadow Forest || Broad: FOREST || Specific: FOREST_FLOOR | SHADOW_FOREST,,,
SITE-053,,WORKING,VILLAGE,STRONG,4,19.043347,-120.468054,R08,Shadeleaf,Northwestern,LAND,SHADOW_FOREST,FOREST,FOREST_FLOOR | SHADOW_FOREST,82.2,67.7,2098.7,3517.0,2473.4,,0,,,,,Region: Shadeleaf || Continent: Northwestern || Class: Village || Biome: Shadow Forest || Broad: FOREST || Specific: FOREST_FLOOR | SHADOW_FOREST,,,
SITE-054,,WORKING,HAMLET,GOOD,3,9.72214,-102.18227,R08,Shadeleaf,Northwestern,LAND,TEMPERATE_DENSE_FOREST,FOREST,FOREST_FLOOR | WOODLAND,115.5,43.8,2363.3,3087.5,2265.5,,0,,,,,Region: Shadeleaf || Continent: Northwestern || Class: Hamlet || Biome: Temperate Dense Forest || Broad: FOREST || Specific: FOREST_FLOOR | WOODLAND,,,
SITE-055,,WORKING,HAMLET,MODEST,2,1.750114,-130.757616,R08,Shadeleaf,Northwestern,LAND,GRASSLAND_STEPPE,GRASSLAND,STEPPE,67.6,55.0,4325.5,5666.6,4563.0,,0,,,,,Region: Shadeleaf || Continent: Northwestern || Class: Hamlet || Biome: Grassland Steppe || Broad: GRASSLAND || Specific: STEPPE,,,
SITE-056,,WORKING,HAMLET,FRONTIER,1,4.588344,-116.146427,R08,Shadeleaf,Northwestern,LAND,TEMPERATE_DENSE_FOREST,FOREST,FOREST_FLOOR | WOODLAND,76.6,85.2,3279.8,4406.7,3392.9,,0,,,,,Region: Shadeleaf || Continent: Northwestern || Class: Hamlet || Biome: Temperate Dense Forest || Broad: FOREST || Specific: FOREST_FLOOR | WOODLAND,,,
SITE-057,Dzongkhar,CANONICAL,METROPOLIS,METROPOLIS,7,41.740275,50.235873,R09,Forestcrown,Eastern,LAND,TEMPERATE_DENSE_FOREST,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP,1024.5,2185.1,1548.2,4570.5,712.8,,0,,,,,Region: Forestcrown || Continent: Eastern || Class: Metropolis || Biome: Temperate Dense Forest || Broad: BUILT_ENVIRONMENT | FOREST | GENERALIST || Specific: CASTLE | CITY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP,,,
SITE-058,,WORKING,CITY,PRIME,6,8.0,47.5,R09,Forestcrown,Eastern,FLOATING_ISLAND,OCEAN,GENERALIST,ISLAND,1370,373.0,1103.3,2334.7,939.3,FLOAT-ISLAND-007,1,POI-067,FLOATING_ISLAND,Floating Island 04,POI-067 [FLOATING_ISLAND] Floating Island 04,Region: Forestcrown || Continent: Eastern || Class: City || Biome: Ocean || Broad: GENERALIST || Specific: ISLAND || POIs: POI-067 [FLOATING_ISLAND] Floating Island 04,,,
SITE-059,,WORKING,TOWN,MAJOR,5,47.23153,32.242475,R09,Forestcrown,Eastern,COASTAL_LAND,SAVANNA_WARM_GRASSLAND,COASTAL | GRASSLAND,ESTUARY | SAVANNA,475.8,3.2,2970.5,5956.4,694.4,,0,,,,,Region: Forestcrown || Continent: Eastern || Class: Town || Biome: Savanna Warm Grassland || Broad: COASTAL | GRASSLAND || Specific: ESTUARY | SAVANNA,,,
SITE-060,,WORKING,VILLAGE,STRONG,4,63.339916,44.725359,R09,Forestcrown,Eastern,LAND,DESERT_BADLANDS,DESERT,COLD_DESERT | SCRUBLAND,573.2,455.7,3310.1,6314.8,338.2,,1,POI-022,PEAK,Western Snow Peak,POI-022 [PEAK] Western Snow Peak,Region: Forestcrown || Continent: Eastern || Class: Village || Biome: Desert Badlands || Broad: DESERT || Specific: COLD_DESERT | SCRUBLAND || POIs: POI-022 [PEAK] Western Snow Peak,,,
SITE-061,,WORKING,HAMLET,GOOD,3,26.092566,53.215823,R09,Forestcrown,Eastern,LAND,ALPINE_MOUNTAIN,MOUNTAIN,ALPINE | PLATEAU,2065.3,103.3,271.7,3005.1,223.1,,1,POI-013,GEYSER,Visible Geyser,POI-013 [GEYSER] Visible Geyser,Region: Forestcrown || Continent: Eastern || Class: Hamlet || Biome: Alpine Mountain || Broad: MOUNTAIN || Specific: ALPINE | PLATEAU || POIs: POI-013 [GEYSER] Visible Geyser,,,
SITE-062,,WORKING,HAMLET,MODEST,2,25.201711,37.084407,R09,Forestcrown,Eastern,COASTAL_LAND,TEMPERATE_DENSE_FOREST,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | WOODLAND,296.8,16.3,1776.9,4068.8,516.5,,0,,,,,Region: Forestcrown || Continent: Eastern || Class: Hamlet || Biome: Temperate Dense Forest || Broad: COASTAL | FOREST || Specific: ESTUARY | FOREST_FLOOR | WOODLAND,,,
SITE-063,,WORKING,HAMLET,FRONTIER,1,-2.801055,58.856953,R09,Forestcrown,Eastern,LAND,TEMPERATE_DENSE_FOREST,FOREST,FOREST_FLOOR | WOODLAND,44.2,43.2,1490.1,978.0,2636.4,,0,,,,,Region: Forestcrown || Continent: Eastern || Class: Hamlet || Biome: Temperate Dense Forest || Broad: FOREST || Specific: FOREST_FLOOR | WOODLAND,,,
SITE-064,Shahravan,CANONICAL,METROPOLIS,METROPOLIS,7,27.122485,56.390356,R10,Innerwood,Eastern,LAND,TEMPERATE_DENSE_FOREST,BUILT_ENVIRONMENT | FOREST | FRESHWATER | GENERALIST,CASTLE | CITY | FLOODPLAIN | FOREST_FLOOR | GENERALIST | RIVER | ROAD | VILLAGE | WOODLAND | WORKSHOP,125.7,1584.6,7.1,2933.7,491.6,,0,,,,,Region: Innerwood || Continent: Eastern || Class: Metropolis || Biome: Temperate Dense Forest || Broad: BUILT_ENVIRONMENT | FOREST | FRESHWATER | GENERALIST || Specific: CASTLE | CITY | FLOODPLAIN | FOREST_FLOOR | GENERALIST | RIVER | ROAD | VILLAGE | WOODLAND | WORKSHOP,,,
SITE-065,,WORKING,CITY,PRIME,6,54.904488,53.351259,R10,Innerwood,Eastern,LAKE,SAVANNA_WARM_GRASSLAND,FRESHWATER | GRASSLAND,LAKE | POND | SAVANNA,,2168.4,2599.6,5483.8,905.1,WATERBODY-0057,0,,,,,Region: Innerwood || Continent: Eastern || Class: City || Biome: Savanna Warm Grassland || Broad: FRESHWATER | GRASSLAND || Specific: LAKE | POND | SAVANNA,,,
SITE-066,,WORKING,TOWN,MAJOR,5,46.867054,56.074298,R10,Innerwood,Eastern,COASTAL_LAND,SAVANNA_WARM_GRASSLAND,COASTAL | GRASSLAND,ESTUARY | SAVANNA,1085.2,18.7,1943.2,4781.3,1425.4,,0,,,,,Region: Innerwood || Continent: Eastern || Class: Town || Biome: Savanna Warm Grassland || Broad: COASTAL | GRASSLAND || Specific: ESTUARY | SAVANNA,,,
SITE-067,,WORKING,VILLAGE,STRONG,4,18.350748,45.594193,R10,Innerwood,Eastern,COASTAL_LAND,TEMPERATE_DENSE_FOREST,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | WOODLAND,1316.7,6.7,814.4,2938.7,292.8,,1,POI-012,FLOATING_ISLAND_GROUP,Floating Island Group,POI-012 [FLOATING_ISLAND_GROUP] Floating Island Group,Region: Innerwood || Continent: Eastern || Class: Village || Biome: Temperate Dense Forest || Broad: COASTAL | FOREST || Specific: ESTUARY | FOREST_FLOOR | WOODLAND || POIs: POI-012 [FLOATING_ISLAND_GROUP] Floating Island Group,,,
SITE-068,,WORKING,HAMLET,GOOD,3,67.911483,55.099968,R10,Innerwood,Eastern,LAND,ALPINE_MOUNTAIN,MOUNTAIN,ALPINE | PLATEAU,1761.1,143.8,3393.7,6168.7,94.2,,0,,,,,Region: Innerwood || Continent: Eastern || Class: Hamlet || Biome: Alpine Mountain || Broad: MOUNTAIN || Specific: ALPINE | PLATEAU,,,
SITE-069,,WORKING,HAMLET,MODEST,2,60.928769,49.897693,R10,Innerwood,Eastern,COASTAL_LAND,TUNDRA_COOL_STEPPE,COASTAL | GRASSLAND | POLAR_ICE,BOREAL_FOREST | ESTUARY | TUNDRA,668.2,12.3,3049.2,5988.6,519.1,,0,,,,,Region: Innerwood || Continent: Eastern || Class: Hamlet || Biome: Tundra Cool Steppe || Broad: COASTAL | GRASSLAND | POLAR_ICE || Specific: BOREAL_FOREST | ESTUARY | TUNDRA,,,
SITE-070,,WORKING,HAMLET,FRONTIER,1,15.335267,54.020195,R10,Innerwood,Eastern,LAND,DESERT_BADLANDS,DESERT | FRESHWATER,FLOODPLAIN | HOT_DESERT | RIVER | SCRUBLAND,38.0,329.0,12.1,2053.6,839.5,,0,,,,,Region: Innerwood || Continent: Eastern || Class: Hamlet || Biome: Desert Badlands || Broad: DESERT | FRESHWATER || Specific: FLOODPLAIN | HOT_DESERT | RIVER | SCRUBLAND,,,
SITE-071,Al-Mihraq,CANONICAL,METROPOLIS,METROPOLIS,7,52.317676,61.929893,R11,Sunscar,Eastern,LAND,SAVANNA_WARM_GRASSLAND,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | SAVANNA | VILLAGE | WORKSHOP,90.0,2165.2,2480.8,4999.9,1030.9,,1,POI-041,LAKE,Eastern Great Lake,POI-041 [LAKE] Eastern Great Lake,Region: Sunscar || Continent: Eastern || Class: Metropolis || Biome: Savanna Warm Grassland || Broad: BUILT_ENVIRONMENT | GENERALIST | GRASSLAND || Specific: CASTLE | CITY | GENERALIST | ROAD | SAVANNA | VILLAGE | WORKSHOP || POIs: POI-041 [LAKE] Eastern Great Lake,,,
SITE-072,,WORKING,CITY,PRIME,6,-5.131154,74.567461,R11,Sunscar,Eastern,DELTA,WETLAND_DELTA,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | RIVER | SWAMP,32.7,20.0,29.0,0.0,3828.1,,1,POI-060,GRASSLAND,Eastern Golden Grasslands,POI-060 [GRASSLAND] Eastern Golden Grasslands,Region: Sunscar || Continent: Eastern || Class: City || Biome: Wetland Delta || Broad: FRESHWATER | WETLAND || Specific: DELTA | FLOODPLAIN | MUDFLAT | RIVER | SWAMP || POIs: POI-060 [GRASSLAND] Eastern Golden Grasslands,,,
SITE-073,,WORKING,TOWN,MAJOR,5,13.5,65.0,R11,Sunscar,Eastern,FLOATING_ISLAND,DESERT_BADLANDS,DESERT | GENERALIST,HOT_DESERT | ISLAND | SCRUBLAND,1610,550.4,101.2,1114.2,1912.3,FLOAT-ISLAND-002,5,POI-046 | POI-056 | POI-064 | POI-065 | POI-066,RIVER | DESERT | FLOATING_ISLAND | FLOATING_ISLAND | FLOATING_ISLAND,Western Tributary River | Central Sunwaste | Floating Island 01 | Floating Island 02 | Floating Island 03,POI-046 [RIVER] Western Tributary River; POI-056 [DESERT] Central Sunwaste; POI-064 [FLOATING_ISLAND] Floating Island 01; POI-065 [FLOATING_ISLAND] Floating Island 02; POI-066 [FLOATING_ISLAND] Floating Island 03,Region: Sunscar || Continent: Eastern || Class: Town || Biome: Desert Badlands || Broad: DESERT | GENERALIST || Specific: HOT_DESERT | ISLAND | SCRUBLAND || POIs: POI-046 [RIVER] Western Tributary River; POI-056 [DESERT] Central Sunwaste; POI-064 [FLOATING_ISLAND] Floating Island 01; POI-065 [FLOATING_ISLAND] Floating Island 02; POI-066 [FLOATING_ISLAND] Floating Island 03,,,
SITE-074,,WORKING,VILLAGE,STRONG,4,31.044808,60.135891,R11,Sunscar,Eastern,LAND,SAVANNA_WARM_GRASSLAND,GRASSLAND,SAVANNA,936.1,42.3,552.3,3173.4,956.1,,1,POI-052,FOREST,Eastern Crownwood,POI-052 [FOREST] Eastern Crownwood,Region: Sunscar || Continent: Eastern || Class: Village || Biome: Savanna Warm Grassland || Broad: GRASSLAND || Specific: SAVANNA || POIs: POI-052 [FOREST] Eastern Crownwood,,,
SITE-075,,WORKING,HAMLET,GOOD,3,32.237383,76.442362,R11,Sunscar,Eastern,LAND,DESERT_BADLANDS,DESERT,HOT_DESERT | SCRUBLAND,1735.1,48.7,836.4,2793.2,1422.1,,0,,,,,Region: Sunscar || Continent: Eastern || Class: Hamlet || Biome: Desert Badlands || Broad: DESERT || Specific: HOT_DESERT | SCRUBLAND,,,
SITE-076,,WORKING,HAMLET,MODEST,2,73.320965,64.42928,R11,Sunscar,Eastern,COASTAL_LAND,TEMPERATE_DENSE_FOREST,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | WOODLAND,223.0,3.3,3731.9,6095.5,222.3,,0,,,,,Region: Sunscar || Continent: Eastern || Class: Hamlet || Biome: Temperate Dense Forest || Broad: COASTAL | FOREST || Specific: ESTUARY | FOREST_FLOOR | WOODLAND,,,
SITE-077,,WORKING,HAMLET,FRONTIER,1,2.321763,50.567703,R11,Sunscar,Eastern,COASTAL_LAND,OCEAN,COASTAL,ESTUARY,0.0,1.5,1673.9,1887.1,1713.3,,0,,,,,Region: Sunscar || Continent: Eastern || Class: Hamlet || Biome: Ocean || Broad: COASTAL || Specific: ESTUARY,,,
SITE-078,Thalassor,CANONICAL,METROPOLIS,METROPOLIS,7,39.033403,123.733175,R12,Reefward,Eastern,LAND,TEMPERATE_DENSE_FOREST,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ISLAND | ROAD | VILLAGE | WOODLAND | WORKSHOP,66.1,83.4,2010.3,4862.0,1726.7,ISLAND-0038,1,POI-081,ISLAND,Eastern Reef Isle,POI-081 [ISLAND] Eastern Reef Isle,Region: Reefward || Continent: Eastern || Class: Metropolis || Biome: Temperate Dense Forest || Broad: BUILT_ENVIRONMENT | FOREST | GENERALIST || Specific: CASTLE | CITY | FOREST_FLOOR | GENERALIST | ISLAND | ROAD | VILLAGE | WOODLAND | WORKSHOP || POIs: POI-081 [ISLAND] Eastern Reef Isle,,,
SITE-079,,WORKING,CITY,PRIME,6,45.269806,118.372322,R12,Reefward,Eastern,REEF,OCEAN,COASTAL | OCEAN,CORAL_REEF | PELAGIC,,111.2,2011.4,5078.4,1575.5,REEF-0003,1,POI-004,REEF,Eastern Great Reef,POI-004 [REEF] Eastern Great Reef,Region: Reefward || Continent: Eastern || Class: City || Biome: Ocean || Broad: COASTAL | OCEAN || Specific: CORAL_REEF | PELAGIC || POIs: POI-004 [REEF] Eastern Great Reef,,,
SITE-080,,WORKING,TOWN,MAJOR,5,20.630671,125.776409,R12,Reefward,Eastern,COASTAL_LAND,SAVANNA_WARM_GRASSLAND,COASTAL | GRASSLAND,ESTUARY | ISLAND | SAVANNA,32.6,8.8,2198.0,3351.7,2404.6,,0,,,,,Region: Reefward || Continent: Eastern || Class: Town || Biome: Savanna Warm Grassland || Broad: COASTAL | GRASSLAND || Specific: ESTUARY | ISLAND | SAVANNA,,,
SITE-081,,WORKING,VILLAGE,STRONG,4,22.144451,105.903675,R12,Reefward,Eastern,LAND,DESERT_BADLANDS,DESERT,HOT_DESERT | SCRUBLAND,305.3,492.1,788.0,2369.3,1357.4,,1,POI-007,WORLD_TREE,World Tree,POI-007 [WORLD_TREE] World Tree,Region: Reefward || Continent: Eastern || Class: Village || Biome: Desert Badlands || Broad: DESERT || Specific: HOT_DESERT | SCRUBLAND || POIs: POI-007 [WORLD_TREE] World Tree,,,
SITE-082,,WORKING,HAMLET,GOOD,3,37.171636,102.006668,R12,Reefward,Eastern,LAND,ALPINE_MOUNTAIN,MOUNTAIN,ALPINE | CLIFF,3852.1,45.0,887.2,3702.9,90.7,,0,,,,,Region: Reefward || Continent: Eastern || Class: Hamlet || Biome: Alpine Mountain || Broad: MOUNTAIN || Specific: ALPINE | CLIFF,,,
SITE-083,,WORKING,HAMLET,MODEST,2,3.073555,123.71684,R12,Reefward,Eastern,LAND,DESERT_BADLANDS,DESERT,HOT_DESERT | SCRUBLAND,462.1,118.3,2538.6,2221.8,4070.9,,0,,,,,Region: Reefward || Continent: Eastern || Class: Hamlet || Biome: Desert Badlands || Broad: DESERT || Specific: HOT_DESERT | SCRUBLAND,,,
SITE-084,,WORKING,HAMLET,FRONTIER,1,-2.985725,140.090037,R12,Reefward,Eastern,COASTAL_LAND,TEMPERATE_DENSE_FOREST,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | ISLAND | WOODLAND,52.7,29.8,3846.8,3800.4,5534.7,,1,POI-010,MAELSTROM,Eastern Maelstrom,POI-010 [MAELSTROM] Eastern Maelstrom,Region: Reefward || Continent: Eastern || Class: Hamlet || Biome: Temperate Dense Forest || Broad: COASTAL | FOREST || Specific: ESTUARY | FOREST_FLOOR | ISLAND | WOODLAND || POIs: POI-010 [MAELSTROM] Eastern Maelstrom,,,
SITE-085,Celestial Quay,CANONICAL,METROPOLIS,METROPOLIS,7,-20.370677,97.922804,R13,Drymarsh,Eastern,COASTAL_LAND,SAVANNA_WARM_GRASSLAND,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ISLAND | ROAD | SAVANNA | VILLAGE | WORKSHOP,33.2,27.8,1368.0,1242.2,6710.9,ISLAND-0096,0,,,,,Region: Drymarsh || Continent: Eastern || Class: Metropolis || Biome: Savanna Warm Grassland || Broad: BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND || Specific: CASTLE | CITY | ESTUARY | GENERALIST | ISLAND | ROAD | SAVANNA | VILLAGE | WORKSHOP,,,
SITE-086,,WORKING,CITY,PRIME,6,-6.491973,89.801702,R13,Drymarsh,Eastern,DELTA,WETLAND_DELTA,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | SWAMP,36.2,0.0,119.0,0.0,5102.4,,0,,,,,Region: Drymarsh || Continent: Eastern || Class: City || Biome: Wetland Delta || Broad: FRESHWATER | WETLAND || Specific: DELTA | FLOODPLAIN | MUDFLAT | SWAMP,,,
SITE-087,,WORKING,TOWN,MAJOR,5,3.706228,90.436043,R13,Drymarsh,Eastern,DELTA,WETLAND_DELTA,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | SWAMP,65.0,8.3,220.4,0.0,3960.3,,3,POI-034 | POI-047 | POI-055,BADLANDS | RIVER | DESERT,Central Broken Badlands | Eastern Tributary River | Eastern Red Desert,POI-034 [BADLANDS] Central Broken Badlands; POI-047 [RIVER] Eastern Tributary River; POI-055 [DESERT] Eastern Red Desert,Region: Drymarsh || Continent: Eastern || Class: Town || Biome: Wetland Delta || Broad: FRESHWATER | WETLAND || Specific: DELTA | FLOODPLAIN | MUDFLAT | SWAMP || POIs: POI-034 [BADLANDS] Central Broken Badlands; POI-047 [RIVER] Eastern Tributary River; POI-055 [DESERT] Eastern Red Desert,,,
SITE-088,,WORKING,VILLAGE,STRONG,4,-1.119022,84.422817,R13,Drymarsh,Eastern,DELTA,WETLAND_DELTA,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | RIVER | SWAMP,65.0,27.7,25.1,0.0,4306.2,,0,,,,,Region: Drymarsh || Continent: Eastern || Class: Village || Biome: Wetland Delta || Broad: FRESHWATER | WETLAND || Specific: DELTA | FLOODPLAIN | MUDFLAT | RIVER | SWAMP,,,
SITE-089,,WORKING,HAMLET,GOOD,3,-1.31389,98.680811,R13,Drymarsh,Eastern,DELTA,WETLAND_DELTA,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | SWAMP,65.0,166.8,328.3,0.0,4348.0,DELTA-0019,0,,,,,Region: Drymarsh || Continent: Eastern || Class: Hamlet || Biome: Wetland Delta || Broad: FRESHWATER | WETLAND || Specific: DELTA | FLOODPLAIN | MUDFLAT | SWAMP,,,
SITE-090,,WORKING,HAMLET,MODEST,2,-15.019278,106.587634,R13,Drymarsh,Eastern,COASTAL_LAND,OCEAN,COASTAL,ESTUARY | ISLAND,0.0,4.7,1250.3,1064.2,6007.5,,0,,,,,Region: Drymarsh || Continent: Eastern || Class: Hamlet || Biome: Ocean || Broad: COASTAL || Specific: ESTUARY | ISLAND,,,
SITE-091,,WORKING,HAMLET,FRONTIER,1,-23.779096,112.751257,R13,Drymarsh,Eastern,COASTAL_LAND,TEMPERATE_DENSE_FOREST,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | ISLAND | WOODLAND,35.7,19.9,2459.3,2274.2,7087.0,,0,,,,,Region: Drymarsh || Continent: Eastern || Class: Hamlet || Biome: Temperate Dense Forest || Broad: COASTAL | FOREST || Specific: ESTUARY | FOREST_FLOOR | ISLAND | WOODLAND,,,
SITE-092,Hydros,CANONICAL,METROPOLIS,METROPOLIS,7,15.526637,76.91743,R14,Manywater,Eastern,LAND,SAVANNA_WARM_GRASSLAND,BUILT_ENVIRONMENT | FRESHWATER | GENERALIST | GRASSLAND,CASTLE | CITY | FLOODPLAIN | GENERALIST | RIVER | ROAD | SAVANNA | VILLAGE | WORKSHOP,503.7,1777.9,8.7,893.4,2833.5,,2,POI-033 | POI-045,BADLANDS | RIVER,Eastern Red Badlands | Great Southbound River,POI-033 [BADLANDS] Eastern Red Badlands; POI-045 [RIVER] Great Southbound River,Region: Manywater || Continent: Eastern || Class: Metropolis || Biome: Savanna Warm Grassland || Broad: BUILT_ENVIRONMENT | FRESHWATER | GENERALIST | GRASSLAND || Specific: CASTLE | CITY | FLOODPLAIN | GENERALIST | RIVER | ROAD | SAVANNA | VILLAGE | WORKSHOP || POIs: POI-033 [BADLANDS] Eastern Red Badlands; POI-045 [RIVER] Great Southbound River,,,
SITE-093,,WORKING,CITY,PRIME,6,-7.294069,75.568698,R14,Manywater,Eastern,DELTA,WETLAND_DELTA,BUILT_ENVIRONMENT | FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MANGROVE | MUDFLAT | RUINS | SWAMP | TEMPLE,65.0,252.3,305.8,0.0,4087.0,,1,POI-078,WETLAND,Eastern Great Delta Wetlands,POI-078 [WETLAND] Eastern Great Delta Wetlands,Region: Manywater || Continent: Eastern || Class: City || Biome: Wetland Delta || Broad: BUILT_ENVIRONMENT | FRESHWATER | WETLAND || Specific: DELTA | FLOODPLAIN | MANGROVE | MUDFLAT | RUINS | SWAMP | TEMPLE || POIs: POI-078 [WETLAND] Eastern Great Delta Wetlands,,,
SITE-094,,WORKING,TOWN,MAJOR,5,55.954914,103.37211,R14,Manywater,Eastern,COASTAL_LAND,DESERT_BADLANDS,COASTAL | DESERT,ESTUARY | HOT_DESERT | SCRUBLAND,36.2,11.2,2475.4,5329.9,1643.5,,0,,,,,Region: Manywater || Continent: Eastern || Class: Town || Biome: Desert Badlands || Broad: COASTAL | DESERT || Specific: ESTUARY | HOT_DESERT | SCRUBLAND,,,
SITE-095,,WORKING,VILLAGE,STRONG,4,47.238613,77.118789,R14,Manywater,Eastern,LAND,SAVANNA_WARM_GRASSLAND,GRASSLAND | MOUNTAIN,ALPINE | CLIFF | SAVANNA,2140.2,88.2,2285.2,4252.2,259.2,,2,POI-029 | POI-087,PEAK | PLATEAU,Derived Summit 01 | Central Arid Plateau,POI-029 [PEAK] Derived Summit 01; POI-087 [PLATEAU] Central Arid Plateau,Region: Manywater || Continent: Eastern || Class: Village || Biome: Savanna Warm Grassland || Broad: GRASSLAND | MOUNTAIN || Specific: ALPINE | CLIFF | SAVANNA || POIs: POI-029 [PEAK] Derived Summit 01; POI-087 [PLATEAU] Central Arid Plateau,,,
SITE-096,,WORKING,HAMLET,GOOD,3,-20.338139,95.533387,R14,Manywater,Eastern,COASTAL_LAND,TEMPERATE_DENSE_FOREST,COASTAL | FOREST | SUBTERRANEAN,CANOPY | CLOUD_FOREST | COASTAL_CLIFF | ESTUARY | FJORD | FLOWERING_HABITAT | FOREST_EDGE | FOREST_FLOOR | ISLAND | KELP_FOREST | OLD_GROWTH_FOREST | SEAGRASS_BED | SEA_CAVE | VOLCANIC | WOODLAND,55.7,31.9,1273.2,1130.9,6595.2,,0,,,,,Region: Manywater || Continent: Eastern || Class: Hamlet || Biome: Temperate Dense Forest || Broad: COASTAL | FOREST | SUBTERRANEAN || Specific: CANOPY | CLOUD_FOREST | COASTAL_CLIFF | ESTUARY | FJORD | FLOWERING_HABITAT | FOREST_EDGE | FOREST_FLOOR | ISLAND | KELP_FOREST | OLD_GROWTH_FOREST | SEAGRASS_BED | SEA_CAVE | VOLCANIC | WOODLAND,,,
SITE-097,,WORKING,HAMLET,MODEST,2,33.430442,102.817299,R14,Manywater,Eastern,LAND,ALPINE_MOUNTAIN,MOUNTAIN | SUBTERRANEAN,ALPINE | BURROW | CANYON | CAVE | CLIFF | KARST | MINE | TUNNEL | UNDERGROUND_RIVER,2477.2,46.1,498.1,3357.6,229.1,,2,POI-023 | POI-074,PEAK | MOUNTAIN_RANGE,Eastern Badland Peak | Eastern Badland Range,POI-023 [PEAK] Eastern Badland Peak; POI-074 [MOUNTAIN_RANGE] Eastern Badland Range,Region: Manywater || Continent: Eastern || Class: Hamlet || Biome: Alpine Mountain || Broad: MOUNTAIN | SUBTERRANEAN || Specific: ALPINE | BURROW | CANYON | CAVE | CLIFF | KARST | MINE | TUNNEL | UNDERGROUND_RIVER || POIs: POI-023 [PEAK] Eastern Badland Peak; POI-074 [MOUNTAIN_RANGE] Eastern Badland Range,,,
SITE-098,,WORKING,HAMLET,FRONTIER,1,11.518113,99.406377,R14,Manywater,Eastern,LAND,DESERT_BADLANDS,DESERT,DUNES | HOT_DESERT | OASIS | SCRUBLAND,733.2,35.2,1259.3,940.0,2742.2,,0,,,,,Region: Manywater || Continent: Eastern || Class: Hamlet || Biome: Desert Badlands || Broad: DESERT || Specific: DUNES | HOT_DESERT | OASIS | SCRUBLAND,,,
